,loss,epoch,batch,running_loss,acc
0,0.7035790681838989,1,49,"tensor(0.7036, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4062, device='cuda:0')"
0,0.688329815864563,1,50,"tensor(0.6883, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5625, device='cuda:0')"
0,0.6951479911804199,1,51,"tensor(0.6951, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.696043848991394,1,52,"tensor(0.6960, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4688, device='cuda:0')"
0,0.6924583911895752,1,53,"tensor(0.6925, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6925730109214783,1,54,"tensor(0.6926, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6917834281921387,1,55,"tensor(0.6918, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6956030130386353,1,56,"tensor(0.6956, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, device='cuda:0')"
0,0.6922560930252075,1,57,"tensor(0.6923, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5312, device='cuda:0')"
0,0.6907039880752563,1,58,"tensor(0.6907, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5938, device='cuda:0')"
0,0.6927173137664795,1,59,"tensor(0.6927, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6941308975219727,1,60,"tensor(0.6941, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, device='cuda:0')"
0,0.6934530138969421,1,61,"tensor(0.6935, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6927932500839233,1,62,"tensor(0.6928, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6928585171699524,1,63,"tensor(0.6929, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6930521726608276,1,64,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6928809285163879,1,65,"tensor(0.6929, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5156, device='cuda:0')"
0,0.6923933029174805,1,66,"tensor(0.6924, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5938, device='cuda:0')"
0,0.6939888000488281,1,67,"tensor(0.6940, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, device='cuda:0')"
0,0.6938360333442688,1,68,"tensor(0.6938, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.693206787109375,1,69,"tensor(0.6932, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.694252610206604,1,70,"tensor(0.6943, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4375, device='cuda:0')"
0,0.6904780864715576,1,71,"tensor(0.6905, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6250, device='cuda:0')"
0,0.6922236680984497,1,72,"tensor(0.6922, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5469, device='cuda:0')"
0,0.6910877823829651,1,73,"tensor(0.6911, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5781, device='cuda:0')"
0,0.6930987238883972,1,74,"tensor(0.6931, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, device='cuda:0')"
0,0.688825249671936,1,75,"tensor(0.6888, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.6094, device='cuda:0')"
0,0.6891777515411377,1,76,"tensor(0.6892, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5781, device='cuda:0')"
0,0.6933194398880005,1,77,"tensor(0.6933, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
0,0.6971238851547241,1,78,"tensor(0.6971, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4531, device='cuda:0')"
0,0.6935821771621704,1,79,"tensor(0.6936, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.5000, device='cuda:0')"
